Year,GeoCode,Value
2008,0400000US48,35.0
2009,0400000US48,35.7
2010,0400000US48,35.8
2011,0400000US48,36.5
2012,0400000US48,37.0
2013,0400000US48,36.3
2014,0400000US48,36.6
2015,0400000US48,36.6
2016,0400000US48,37.4
2017,0400000US48,0.0
2000,0400000US21,0.0
2001,0400000US21,0.0
2002,0400000US21,0.0
2003,0400000US21,0.0
2004,0400000US21,0.0
2005,0400000US21,34.3
2006,0400000US21,34.8
2007,0400000US21,36.8
2008,0400000US21,36.7
2009,0400000US21,36.4
2010,0400000US21,38.1
2011,0400000US21,36.8
2012,0400000US21,34.1
2013,0400000US21,36.0
2014,0400000US21,37.6
2015,0400000US21,36.9
2016,0400000US21,38.4
2017,0400000US21,0.0
2000,0400000US36,0.0
2001,0400000US36,0.0
2002,0400000US36,0.0
2003,0400000US36,0.0
2004,0400000US36,0.0
2005,0400000US36,37.5
2006,0400000US36,36.8
2007,0400000US36,37.8
2008,0400000US36,39.5
2009,0400000US36,38.6
2010,0400000US36,38.9
2011,0400000US36,39.4
2012,0400000US36,40.6
2013,0400000US36,40.2
2014,0400000US36,40.4
2015,0400000US36,40.2
2016,0400000US36,41.1
2017,0400000US36,0.0
2000,0400000US54,0.0
2001,0400000US54,0.0
2002,0400000US54,0.0
2003,0400000US54,0.0
2004,0400000US54,0.0
2005,0400000US54,36.6
2006,0400000US54,37.3
2007,0400000US54,36.2
2008,0400000US54,38.9
2009,0400000US54,39.3
2010,0400000US54,37.4
2011,0400000US54,38.9
2012,0400000US54,38.4
2013,0400000US54,35.7
2014,0400000US54,40.4
2015,0400000US54,38.5
2016,0400000US54,40.2
2017,0400000US54,0.0
2000,0400000US41,0.0
2001,0400000US41,0.0
2002,0400000US41,0.0
2003,0400000US41,0.0
2004,0400000US41,0.0
2005,0400000US41,33.8
2006,0400000US41,37.8
2007,0400000US41,32.8
2008,0400000US41,35.8
2009,0400000US41,38.3
2010,0400000US41,37.9
2011,0400000US41,39.7
2012,0400000US41,40.0
2013,0400000US41,38.3
2014,0400000US41,40.1
2015,0400000US41,38.3
2016,0400000US41,39.6
2017,0400000US41,0.0
2000,0400000US33,0.0
2001,0400000US33,0.0
2002,0400000US33,0.0
2003,0400000US33,0.0
2004,0400000US33,0.0
2005,0400000US33,31.4
2006,0400000US33,31.4
2007,0400000US33,33.4
2008,0400000US33,35.0
2009,0400000US33,37.7
2010,0400000US33,36.9
2011,0400000US33,38.1
2012,0400000US33,36.8
2013,0400000US33,38.8
2014,0400000US33,40.6
2015,0400000US33,38.6
2016,0400000US33,37.2
2017,0400000US33,0.0
2000,0400000US46,0.0
2001,0400000US46,0.0
2002,0400000US46,0.0
2003,0400000US46,0.0
2004,0400000US46,0.0
2005,0400000US46,27.9
2006,0400000US46,28.6
2007,0400000US46,24.6
2008,0400000US46,29.5
2009,0400000US46,32.1
2010,0400000US46,29.5
2011,0400000US46,23.4
2012,0400000US46,30.2
2013,0400000US46,30.0
2014,0400000US46,30.8
2015,0400000US46,27.5
2016,0400000US46,28.1
2017,0400000US46,0.0
2000,0400000US50,0.0
2001,0400000US50,0.0
2002,0400000US50,0.0
2003,0400000US50,0.0
2004,0400000US50,0.0
2005,0400000US50,33.4
2006,0400000US50,34.8
2007,0400000US50,36.3
2008,0400000US50,36.2
2009,0400000US50,38.2
2010,0400000US50,41.0
2011,0400000US50,39.9
2012,0400000US50,38.7
2013,0400000US50,40.6
2014,0400000US50,39.4
2015,0400000US50,40.9
2016,0400000US50,42.6
2017,0400000US50,0.0
2000,0400000US32,0.0
2001,0400000US32,0.0
2002,0400000US32,0.0
2003,0400000US32,0.0
2004,0400000US32,0.0
2005,0400000US32,38.4
2006,0400000US32,37.1
2007,0400000US32,36.9
2008,0400000US32,39.2
2009,0400000US32,37.5
2010,0400000US32,40.5
2011,0400000US32,44.6
2012,0400000US32,37.6
2013,0400000US32,39.6
2014,0400000US32,42.5
2015,0400000US32,38.9
2016,0400000US32,38.2
2017,0400000US32,0.0
2000,0400000US51,0.0
2001,0400000US51,0.0
2002,0400000US51,0.0
2003,0400000US51,0.0
2004,0400000US51,0.0
2005,0400000US51,37.5
2006,0400000US51,37.0
2007,0400000US51,36.4
2008,0400000US51,38.7
2009,0400000US51,38.1
2010,0400000US51,39.1
2011,0400000US51,38.1
2012,0400000US51,40.2
2013,0400000US51,38.9
2014,0400000US51,40.3
2015,0400000US51,39.4
2016,0400000US51,39.6
2017,0400000US51,0.0
2000,0400000US24,0.0
2001,0400000US24,0.0
2002,0400000US24,0.0
2003,0400000US24,0.0
2004,0400000US24,0.0
2005,0400000US24,38.2
2006,0400000US24,39.7
2007,0400000US24,40.8
2008,0400000US24,40.0
2009,0400000US24,40.9
2010,0400000US24,43.0
2011,0400000US24,43.5
2012,0400000US24,41.4
2013,0400000US24,44.1
2014,0400000US24,42.5
2015,0400000US24,42.8
2016,0400000US24,42.8
2017,0400000US24,0.0
2000,0400000US29,0.0
2001,0400000US29,0.0
2002,0400000US29,0.0
2003,0400000US29,0.0
2004,0400000US29,0.0
2005,0400000US29,34.2
2006,0400000US29,32.4
2007,0400000US29,35.0
2008,0400000US29,37.0
2009,0400000US29,36.8
2010,0400000US29,38.6
2011,0400000US29,38.2
2012,0400000US29,37.7
2013,0400000US29,37.2
2014,0400000US29,38.2
2015,0400000US29,39.8
2016,0400000US29,41.1
2017,0400000US29,0.0
2000,0400000US26,0.0
2001,0400000US26,0.0
2002,0400000US26,0.0
2003,0400000US26,0.0
2004,0400000US26,0.0
2005,0400000US26,34.6
2006,0400000US26,35.0
2007,0400000US26,36.1
2008,0400000US26,35.2
2009,0400000US26,37.4
2010,0400000US26,37.5
2011,0400000US26,38.6
2012,0400000US26,37.5
2013,0400000US26,37.0
2014,0400000US26,37.7
2015,0400000US26,36.6
2016,0400000US26,38.9
2017,0400000US26,0.0
2000,0400000US27,0.0
2001,0400000US27,0.0
2002,0400000US27,0.0
2003,0400000US27,0.0
2004,0400000US27,0.0
2005,0400000US27,33.2
2006,0400000US27,33.5
2007,0400000US27,34.4
2008,0400000US27,35.5
2009,0400000US27,36.3
2010,0400000US27,36.2
2011,0400000US27,37.1
2012,0400000US27,36.1
2013,0400000US27,36.6
2014,0400000US27,37.8
2015,0400000US27,36.4
2016,0400000US27,37.3
2017,0400000US27,0.0
2000,0400000US04,0.0
2001,0400000US04,0.0
2002,0400000US04,0.0
2003,0400000US04,0.0
2004,0400000US04,0.0
2005,0400000US04,35.6
2006,0400000US04,34.7
2007,0400000US04,37.2
2008,0400000US04,37.2
2009,0400000US04,39.6
2010,0400000US04,38.8
2011,0400000US04,39.1
2012,0400000US04,37.1
2013,0400000US04,38.1
2014,0400000US04,39.5
2015,0400000US04,40.5
2016,0400000US04,37.2
2017,0400000US04,0.0
2000,0400000US08,0.0
2001,0400000US08,0.0
2002,0400000US08,0.0
2003,0400000US08,0.0
2004,0400000US08,0.0
2005,0400000US08,35.0
